offset,dtype,value,confidence,reason
6926,float64,16.0,0.5,finite furniture-like float64
6943,float64,-4.0,0.5,finite furniture-like float64
6960,float64,-4.0,0.5,finite furniture-like float64
6977,float64,-17.999999999999925,0.5,finite furniture-like float64
6994,float64,4.000000000000002,0.5,finite furniture-like float64
7011,float64,4.0,0.5,finite furniture-like float64
7157,float64,-1.0,0.5,finite furniture-like float64
7174,float64,4.0,0.5,finite furniture-like float64
7191,float64,17.999999999999574,0.5,finite furniture-like float64
7382,float64,18.0,0.5,finite furniture-like float64
7416,float64,-3.55,0.5,finite furniture-like float64
7433,float64,-3.55,0.5,finite furniture-like float64
7450,float64,52.0,0.5,finite furniture-like float64
7467,float64,3.55,0.5,finite furniture-like float64
7484,float64,3.55,0.5,finite furniture-like float64
7570,float64,1.0,0.5,finite furniture-like float64
7621,float64,3.55,0.5,finite furniture-like float64
7638,float64,18.000000000000085,0.5,finite furniture-like float64
7674,float64,18.0,0.5,finite furniture-like float64
7725,float64,1.0,0.5,finite furniture-like float64
7776,float64,2.25,0.5,finite furniture-like float64
7793,float64,34.0,0.5,finite furniture-like float64
7971,float64,18.0,0.5,finite furniture-like float64
8005,float64,-3.55,0.5,finite furniture-like float64
8022,float64,-3.55,0.5,finite furniture-like float64
8039,float64,52.0,0.5,finite furniture-like float64
8056,float64,3.55,0.5,finite furniture-like float64
8073,float64,3.55,0.5,finite furniture-like float64
8159,float64,1.0,0.5,finite furniture-like float64
8210,float64,3.55,0.5,finite furniture-like float64
8227,float64,18.000000000000142,0.5,finite furniture-like float64
8263,float64,18.0,0.5,finite furniture-like float64
8314,float64,1.0,0.5,finite furniture-like float64
8365,float64,2.25,0.5,finite furniture-like float64
8382,float64,34.0,0.5,finite furniture-like float64
8560,float64,18.0,0.5,finite furniture-like float64
8594,float64,-3.55,0.5,finite furniture-like float64
8611,float64,-3.55,0.5,finite furniture-like float64
8628,float64,52.0,0.5,finite furniture-like float64
8645,float64,3.55,0.5,finite furniture-like float64
8662,float64,3.55,0.5,finite furniture-like float64
8748,float64,1.0,0.5,finite furniture-like float64
8799,float64,3.55,0.5,finite furniture-like float64
8816,float64,17.999999999999986,0.5,finite furniture-like float64
8852,float64,18.0,0.5,finite furniture-like float64
8903,float64,1.0,0.5,finite furniture-like float64
8954,float64,2.25,0.5,finite furniture-like float64
8971,float64,34.0,0.5,finite furniture-like float64
9149,float64,18.0,0.5,finite furniture-like float64
9183,float64,-3.55,0.5,finite furniture-like float64
9200,float64,-3.55,0.5,finite furniture-like float64
9217,float64,52.0,0.5,finite furniture-like float64
9234,float64,3.55,0.5,finite furniture-like float64
9251,float64,3.55,0.5,finite furniture-like float64
9337,float64,1.0,0.5,finite furniture-like float64
9388,float64,3.55,0.5,finite furniture-like float64
9405,float64,17.999999999999986,0.5,finite furniture-like float64
9441,float64,18.0,0.5,finite furniture-like float64
9492,float64,1.0,0.5,finite furniture-like float64
9543,float64,2.25,0.5,finite furniture-like float64
9560,float64,34.0,0.5,finite furniture-like float64
9738,float64,18.0,0.5,finite furniture-like float64
9772,float64,-3.55,0.5,finite furniture-like float64
9789,float64,-3.55,0.5,finite furniture-like float64
9806,float64,52.0,0.5,finite furniture-like float64
9823,float64,3.55,0.5,finite furniture-like float64
9840,float64,3.55,0.5,finite furniture-like float64
9926,float64,1.0,0.5,finite furniture-like float64
9977,float64,3.55,0.5,finite furniture-like float64
9994,float64,18.0,0.5,finite furniture-like float64
10030,float64,18.0,0.5,finite furniture-like float64
10081,float64,1.0,0.5,finite furniture-like float64
10132,float64,2.25,0.5,finite furniture-like float64
10149,float64,34.0,0.5,finite furniture-like float64
10327,float64,18.0,0.5,finite furniture-like float64
10361,float64,-3.55,0.5,finite furniture-like float64
10378,float64,-3.55,0.5,finite furniture-like float64
10395,float64,52.0,0.5,finite furniture-like float64
10412,float64,3.55,0.5,finite furniture-like float64
10429,float64,3.55,0.5,finite furniture-like float64
10515,float64,1.0,0.5,finite furniture-like float64
10566,float64,3.55,0.5,finite furniture-like float64
10583,float64,18.0,0.5,finite furniture-like float64
10619,float64,18.0,0.5,finite furniture-like float64
10670,float64,1.0,0.5,finite furniture-like float64
10721,float64,2.25,0.5,finite furniture-like float64
10738,float64,34.0,0.5,finite furniture-like float64
10916,float64,18.0,0.5,finite furniture-like float64
10950,float64,-3.55,0.5,finite furniture-like float64
10967,float64,-3.55,0.5,finite furniture-like float64
10984,float64,52.0,0.5,finite furniture-like float64
11001,float64,3.55,0.5,finite furniture-like float64
11018,float64,3.55,0.5,finite furniture-like float64
11104,float64,1.0,0.5,finite furniture-like float64
11155,float64,3.55,0.5,finite furniture-like float64
11172,float64,18.0,0.5,finite furniture-like float64
